yr	prob
976	1.21335179081688e-06
977	2.7579290513116e-06
978	6.02460615840982e-06
979	1.11942627402573e-05
980	2.21384970737749e-05
981	4.07817772077883e-05
982	7.52288772778334e-05
983	0.000197464675409338
984	0.000400331659261909
985	0.00106424169364614
986	0.0026999687372862
987	0.00618685924960901
988	0.0128901314279196
989	0.0255248182629321
990	0.0418722169954326
991	0.0742324866548315
992	0.100793067188103
993	0.124481546800883
994	0.14774969418792
995	0.158406373465024
996	0.121564375807129
997	0.0797248762917922
998	0.0448734015144927
999	0.0255762516517415
1000	0.0140168395061809
1001	0.00788911587058658
1002	0.00481291507032995
1003	0.00247119103418968
1004	0.00135258853050081
1005	0.000654427615541685
1006	0.000273900815952486
1007	9.28026323587956e-05
1008	2.74509953478058e-05
1009	7.99333037330435e-06
1010	1.83927234188691e-06
